#TYPE System.Management.Automation.PSCustomObject
"quality","level","species"
"UNCOMMON","1","Cobra Hatchling"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","White Tickbird Hatchling"
"UNCOMMON","1","Great Horned Owl"
"UNCOMMON","1","Winter Reindeer"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","Siamese Cat"
"UNCOMMON","1","Worg Pup"
"UNCOMMON","1","Hawk Owl"
"UNCOMMON","1","Wolpertinger"
"UNCOMMON","1","Cornish Rex Cat"
"UNCOMMON","1","Cockatiel"
"UNCOMMON","1","Snowshoe Rabbit"
"UNCOMMON","1","Yellow Moth"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","White Moth"
"UNCOMMON","1","Crimson Snake"
"UNCOMMON","1","Orange Tabby Cat"
"UNCOMMON","1","Black Kingsnake"
"UNCOMMON","1","Undercity Cockroach"
"UNCOMMON","1","Ancona Chicken"
"UNCOMMON","1","Tree Frog"
"UNCOMMON","1","White Tickbird Hatchling"
"UNCOMMON","1","Brown Snake"
"UNCOMMON","1","Red Moth"
"UNCOMMON","1","Red Dragonhawk Hatchling"
"UNCOMMON","1","Golden Dragonhawk Hatchling"
"UNCOMMON","1","Cobra Hatchling"
"UNCOMMON","1","Silver Dragonhawk Hatchling"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","Blue Moth"
"UNCOMMON","1","Mana Wyrmling"
"UNCOMMON","1","Tickbird Hatchling"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Albino Snake"
"UNCOMMON","1","Wood Frog"
"UNCOMMON","1","White Kitten"
"UNCOMMON","1","Teldrassil Sproutling"
"UNCOMMON","1","Blue Dragonhawk Hatchling"
"UNCOMMON","1","Calico Cat"
"UNCOMMON","1","Green Wing Macaw"
"UNCOMMON","1","Peddlefeet"
"UNCOMMON","1","Pet Bombling"
"UNCOMMON","1","Ghostly Skull"
"UNCOMMON","1","Brown Rabbit"
"UNCOMMON","1","Brown Prairie Dog"
"UNCOMMON","1","Obsidian Hatchling"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","Plump Turkey"
"RARE","25","Sprite Darter Hatchling"
"UNCOMMON","1","Snowshoe Rabbit"
"UNCOMMON","1","Tree Frog"
"UNCOMMON","1","Smolderweb Hatchling"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","Miniwing"
"UNCOMMON","1","White Kitten"
"UNCOMMON","1","Proto-Drake Whelp"
"UNCOMMON","1","Winter's Little Helper"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","Ancona Chicken"
"UNCOMMON","1","Speedy"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Crimson Snake"
"UNCOMMON","1","Cockatiel"
"UNCOMMON","1","Green Wing Macaw"
"UNCOMMON","1","Worg Pup"
"UNCOMMON","1","Blue Dragonhawk Hatchling"
"UNCOMMON","1","Winter Reindeer"
"UNCOMMON","1","Undercity Cockroach"
"UNCOMMON","1","Bombay Cat"
"UNCOMMON","5","Silver Tabby Cat"
"UNCOMMON","1","Tickbird Hatchling"
"UNCOMMON","1","Hawk Owl"
"UNCOMMON","1","Brown Rabbit"
"UNCOMMON","1","Orange Tabby Cat"
"UNCOMMON","1","Brown Prairie Dog"
"UNCOMMON","1","Siamese Cat"
"UNCOMMON","1","Brown Snake"
"UNCOMMON","1","Mana Wyrmling"
"UNCOMMON","1","Yellow Moth"
"UNCOMMON","1","Great Horned Owl"
"UNCOMMON","1","Blue Moth"
"UNCOMMON","1","Wood Frog"
"UNCOMMON","1","Black Kingsnake"
"UNCOMMON","1","Red Moth"
"UNCOMMON","1","White Tickbird Hatchling"
"UNCOMMON","1","Blue Dragonhawk Hatchling"
"UNCOMMON","1","Cornish Rex Cat"
"RARE","25","Disgusting Oozeling"
"UNCOMMON","1","White Moth"
"UNCOMMON","1","Bombay Cat"
"UNCOMMON","1","Cobra Hatchling"
"RARE","1","Dark Whelpling"
"UNCOMMON","1","Whiskers the Rat"
"UNCOMMON","1","Winter's Little Helper"
"UNCOMMON","1","Miniwing"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","Undercity Cockroach"
"UNCOMMON","1","Siamese Cat"
"UNCOMMON","1","Wolpertinger"
"UNCOMMON","1","Tiny Snowman"
"UNCOMMON","1","Orange Tabby Cat"
"UNCOMMON","1","Brown Snake"
"UNCOMMON","1","Father Winter's Helper"
"UNCOMMON","1","White Tickbird Hatchling"
"UNCOMMON","1","Jubling"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Worg Pup"
"UNCOMMON","1","Yellow Moth"
"UNCOMMON","1","Mana Wyrmling"
"UNCOMMON","1","Wood Frog"
"UNCOMMON","1","Speedy"
"UNCOMMON","1","Red Dragonhawk Hatchling"
"UNCOMMON","1","Proto-Drake Whelp"
"UNCOMMON","1","Winter Reindeer"
"UNCOMMON","1","Cobra Hatchling"
"UNCOMMON","1","Brown Prairie Dog"
"UNCOMMON","1","Black Kingsnake"
"UNCOMMON","1","Tickbird Hatchling"
"UNCOMMON","1","Golden Dragonhawk Hatchling"
"UNCOMMON","1","Hawk Owl"
"UNCOMMON","1","Silver Dragonhawk Hatchling"
"UNCOMMON","1","Great Horned Owl"
"UNCOMMON","1","Gold Mini Jouster"
"UNCOMMON","1","Blue Moth"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","White Moth"
"UNCOMMON","1","Tree Frog"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","Pet Bombling"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Crimson Snake"
"RARE","10","Singing Sunflower"
"UNCOMMON","1","Yu'lon Kite"
"UNCOMMON","1","Spring Rabbit"
"RARE","1","Nuts"
"UNCOMMON","5","Fishy"
"UNCOMMON","1","Leaping Hatchling"
"RARE","20","Stormwind Rat"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Creepy Crate"
"UNCOMMON","1","Blue Clockwork Rocket Bot"
"RARE","1","Dark Phoenix Hatchling"
"UNCOMMON","1","Armadillo Pup"
"UNCOMMON","1","Guild Herald"
"UNCOMMON","1","Fishy"
"UNCOMMON","1","Father Winter's Helper"
"RARE","25","Lunar Lantern"
"RARE","25","Crimson Moth"
"RARE","25","Withers"
"POOR","7","Polly"
"RARE","1","Ashstone Core"
"UNCOMMON","7","Lizard Hatchling"
"RARE","5","Dusk Spiderling"
"RARE","8","Long-tailed Mole"
"RARE","25","Son of Animus"
"RARE","12","Brown Marmot"
"RARE","25","Harbinger of Flame"
"RARE","1","Hopling"
"RARE","12","Gooey Sha-ling"
"UNCOMMON","1","Guild Page"
"RARE","10","Bonkers"
"UNCOMMON","1","Deviate Hatchling"
"RARE","1","Brilliant Kaliri"
"RARE","1","Panther Cub"
"RARE","25","Iron Starlette"
"RARE","1","Fetid Waveling"
"RARE","10","Emmigosa"
"RARE","25","Risen Saber Kitten"
"RARE","1","Pygmy Owl"
"UNCOMMON","1","Skyhorn Nestling"
"RARE","25","Lurking Owl Kitten"
"UNCOMMON","1","Guild Herald"
"RARE","10","Nightmare Lasher"
"RARE","25","Broot"
"RARE","20","Benax"
"UNCOMMON","1","Crimson Spore"
"POOR","23","Junglebeak"
"UNCOMMON","1","Kaliri Hatchling"
"UNCOMMON","1","Veilwatcher Hatchling"
"RARE","1","Slithershock Elver"
"UNCOMMON","1","Brilliant Spore"
"RARE","1","Netherspawn, Spawn of Netherspawn"
"RARE","25","Fel Flame"
"RARE","25","Unborn Val'kyr"
"RARE","25","Zoom"
"COMMON","23","Coralback Fiddler"
"RARE","25","Celestial Dragon"
"RARE","23","Mud Jumper"
"COMMON","23","Shadow Sporebat"
"RARE","25","Gilnean Raven"
"RARE","10","Corgi Pup"
"RARE","25","Shadow"
"RARE","25","Chrominius"
"RARE","25","Anubisath Idol"
"RARE","6","Roach"
"RARE","25","Leopard Tree Frog"
"RARE","1","Corgi Pup"
"RARE","1","Bleakwater Jelly"
"RARE","10","Cinder Pup"
"RARE","25","Sister of Temptation"
"RARE","12","Phoenix Hawk Hatchling"
"RARE","1","Blazehound"
"RARE","1","Grasping Manifestation"
"RARE","25","Gold Beetle"
"RARE","25","Gold Beetle"
"RARE","23","Wood Wasp"
"RARE","25","Axebeak Hatchling"
"RARE","23","Valley Chicken"
"RARE","25","Honey Bee"
"RARE","23","Sandyback Crawler"
"RARE","25","River Frog"
"RARE","25","Honey Bee"
"RARE","1","Creepy Crawly"
"UNCOMMON","13","Stinkbug"
"UNCOMMON","15","Spotted Bell Frog"
"UNCOMMON","16","Rock Viper"
"UNCOMMON","4","Cheetah Cub"
"RARE","6","Maggot"
"RARE","25","Kun-Lai Runt"
"COMMON","1","Grey Moth"
"RARE","13","Snake"
"RARE","25","Spawn of Onyxia"
"RARE","25","Silky Moth"
"RARE","21","Bat"
"RARE","25","Nordrassil Wisp"
"RARE","21","Alpine Chipmunk"
"RARE","22","Forest Moth"
"RARE","22","Rock Viper"
"COMMON","15","Fire Beetle"
"COMMON","16","Arcane Eye"
"POOR","8","Tree Python"
"POOR","9","Beetle"
"UNCOMMON","6","Squirrel"
"POOR","7","Hare"
"UNCOMMON","5","Blighted Squirrel"
"POOR","11","Rabbit"
"COMMON","12","Bat"
"COMMON","2","Ruby Sapling"
"POOR","16","Adder"
"RARE","25","Flayer Youngling"
"POOR","19","Fel Flame"
"POOR","18","Clefthoof Runt"
"POOR","19","Rabbit"
"UNCOMMON","19","Nether Roach"
"POOR","20","Arctic Hare"
"UNCOMMON","20","Dragonbone Hatchling"
"RARE","20","Arctic Hare"
"RARE","25","Water Waveling"
"POOR","19","Maggot"
"COMMON","21","Squirrel"
"RARE","25","Scourged Whelpling"
"RARE","25","Sky-Bo"
"POOR","22","Softshell Snapling"
"COMMON","21","Marsh Fiddler"
"UNCOMMON","23","Amethyst Spiderling"
"RARE","22","Clouded Hedgehog"
"RARE","25","Emperor Crab"
"RARE","23","Grassland Hopper"
"RARE","25","Emerald Proto-Whelp"
"RARE","25","Emerald Proto-Whelp"
"RARE","23","Grove Viper"
"RARE","22","Mirror Strider"
"RARE","22","Mirror Strider"
"RARE","25","Eternal Strider"
"RARE","25","Alpine Foxling"
"RARE","25","Rapana Whelk"
"UNCOMMON","1","Nursery Spider"
"RARE","25","Dust Bunny"
"RARE","25","Squirky"
"COMMON","23","Skyfin Juvenile"
"RARE","25","Pygmy Marsuul"
"RARE","25","Voidstalker Runt"
"POOR","23","Felcrazed Wyrm"
"RARE","25","Arcane Gorger"
"RARE","6","Darkmoon Glowfly"
"RARE","25","Crow"
"RARE","25","Enchanted Torch"
"RARE","25","Mechanical Pandaren Dragonling"
"RARE","25","Zandalari Anklerender"
"RARE","25","Darkmoon Tonk"
"RARE","25","Pocket Reaver"
"UNCOMMON","1","Personal World Destroyer"
"RARE","1","Left Shark"
"RARE","25","Lil' Bling"
"RARE","1","Lil' Bling"
"RARE","1","Fel-Afflicted Skyfin"
"RARE","1","Death Talon Whelpguard"
"RARE","1","Untamed Hatchling"
"RARE","10","Stormborne Whelpling"
"RARE","7","Surger"
"RARE","25","Surger"
"RARE","1","Uuna"
"RARE","25","Zangar Crawler"
"RARE","25","Syd the Squid"
"RARE","25","Scraps"
"RARE","25","Hermit Crab"
"RARE","25","Hermit Crab"
"RARE","25","Scourged Whelpling"
"UNCOMMON","1","Brilliant Spore"
"RARE","25","Golden Dawnfeather"
"RARE","25","Golden Dawnfeather"
"RARE","25","Antoran Bile Larva"
"RARE","25","Antoran Bilescourge"
"RARE","25","Junglebeak"
"RARE","25","Doom Bloom"
"RARE","23","Parched Lizard"
"RARE","23","Wood Wasp"
"RARE","25","Gold Beetle"
"RARE","25","Lil' Bling"
"RARE","2","Black Lamb"
"RARE","10","Puddle Terror"
"RARE","1","Young Talbuk"
"RARE","1","Feral Vermling"
"RARE","6","Mountain Cottontail"
"RARE","25","Lil' Tarecgosa"
"RARE","25","Softshell Snapling"
"RARE","10","Wicked Soul"
"RARE","25","Frostwolf Ghostpup"
"RARE","25","Zandalari Anklerender"
"RARE","25","Malayan Quillrat Pup"
"UNCOMMON","1","Guild Herald"
"RARE","1","Ragepeep"
"RARE","1","Fozling"
"UNCOMMON","1","Guild Page"
"RARE","1","Firewing"
"RARE","10","Ghastly Kid"
"RARE","1","Albino Chimaeraling"
"RARE","1","Sun Sproutling"
"UNCOMMON","1","Death Adder Hatchling"
"RARE","1","Mini Mindslayer"
"RARE","10","Anubisath Idol"
"RARE","10","Magma Rageling"
"RARE","1","Blazehound"
"RARE","10","Void Jelly"
"RARE","25","Lost Netherpup"
"RARE","1","Orphaned Marsuul"
"RARE","25","Lil' XT"
"RARE","1","Cenarion Hatchling"
"RARE","1","Moonkin Hatchling"
"RARE","1","Moonkin Hatchling"
"UNCOMMON","1","Tiny Goldfish"
"RARE","13","Gust of Cyclarus"
"RARE","1","Darkshore Sentinel"
"UNCOMMON","1","Sea Pony"
"RARE","13","Iron Starlette"
"RARE","10","Hydraling"
"RARE","1","Corefire Imp"
"RARE","1","Ashstone Core"
"RARE","1","Boneshard"
"RARE","13","Ghostshell Crab"
"RARE","1","Blorp"
"RARE","1","Sun Sproutling"
"RARE","25","Dandelion Frolicker"
"RARE","1","Harbinger of Flame"
"RARE","25","Dread Hatchling"
"RARE","10","Lil' Nefarian"
"UNCOMMON","4","Bumbles"
"RARE","25","Dream Whelpling"
"RARE","10","Anima Wyrmling"
"RARE","25","Sentinel's Companion"
"RARE","1","Everbloom Peachick"
"RARE","23","River Otter"
"UNCOMMON","23","Giant Woodworm"
"RARE","12","Cockroach"
"RARE","22","Highlands Skunk"
"RARE","1","Jade Tentacle"
"RARE","22","Wildhammer Gryphon Hatchling"
"RARE","21","Highlands Mouse"
"RARE","25","Sunfire Kaliri"
"UNCOMMON","23","Shack Crab"
"POOR","23","Black Rat"
"RARE","1","Giant Bone Spider"
"RARE","1","Fungal Abomination"
"RARE","13","Stitched Pup"
"RARE","25","Viscidus Globule"
"RARE","25","Mr. Bigglesworth"
"RARE","25","Oasis Moth"
"RARE","23","Tol'vir Scarab"
"UNCOMMON","23","Void-Scarred Locust"
"RARE","23","Locust"
"COMMON","23","Mac Frog"
"RARE","25","Void-Scarred Locust"
"RARE","23","Mac Frog"
"RARE","25","Oasis Void-Duster"
"RARE","23","Tol'vir Scarab"
"RARE","23","Leopard Scorpid"
"RARE","11","Weebomination"
"COMMON","23","Oasis Void-Duster"
"RARE","25","Teroclaw Hatchling"
"RARE","25","Gloop"
"RARE","10","Mining Monkey"
"RARE","10","Dibbler"
"RARE","25","Tinytron"
"RARE","2","Small Frog"
"RARE","5","Roach"
"POOR","7","Rat Snake"
"UNCOMMON","6","Skunk"
"POOR","5","Chicken"
"POOR","6","Mouse"
"RARE","6","Chicken"
"COMMON","6","Black Rat"
"UNCOMMON","5","Mouse"
"RARE","1","Firewing"
"POOR","12","Infected Squirrel"
"COMMON","13","Beetle"
"COMMON","13","Infected Fawn"
"POOR","12","Festering Maggot"
"POOR","11","Jade Oozeling"
"UNCOMMON","22","Grizzly Squirrel"
"POOR","15","Ash Viper"
"RARE","25","Ikky"
"RARE","25","Playful Frostkin"
"RARE","25","Sinister Squashling"
"POOR","23","Adder"
"RARE","23","Giant Woodworm"
"POOR","23","Forest Spiderling"
"RARE","25","Shack Crab"
"POOR","21","Jungle Darter"
"RARE","23","Szechuan Chicken"
"RARE","22","Summit Kid"
"RARE","20","Macabre Marionette"
"RARE","1","Thistlebrush Bud"
"RARE","25","Elekk Plushie"
"RARE","25","Turkey"
"RARE","25","Turkey"
"RARE","19","Skunk"
"RARE","25","Turkey"
"RARE","25","Blossoming Ancient"
"RARE","1","Albino Chimaeraling"
"RARE","25","Alterac Brew-Pup"
"RARE","10","Singing Cricket"
"RARE","25","Rapana Whelk"
"RARE","25","Pandaren Water Spirit"
"RARE","1","Red Panda"
"RARE","25","Sunborne Val'kyr"
"RARE","19","Borean Marmot"
"RARE","19","Shore Crab"
"RARE","19","Shore Crab"
"RARE","19","Borean Marmot"
"UNCOMMON","19","Oily Slimeling"
"COMMON","19","Tundra Penguin"
"RARE","25","Nexus Whelpling"
"UNCOMMON","23","Leafy Flutterwing"
"UNCOMMON","23","Baby Zandalari Raptor"
"POOR","23","Barrier Hermit"
"UNCOMMON","23","Shore Butterfly"
"UNCOMMON","23","Golden Beetle"
"UNCOMMON","7","Tricorne"
"POOR","4","Tiny Harvester"
"UNCOMMON","4","Prairie Dog"
"RARE","25","Thistleleaf Adventurer"
"RARE","25","Clockwork Gnome"
"COMMON","23","Vale Marmot"
"RARE","20","Tundra Penguin"
"UNCOMMON","19","Nexus Whelpling"
"RARE","10","Sunfur Panda"
"RARE","10","Mountain Panda"
"RARE","22","Golden Civet"
"RARE","22","Voidskimmer"
"COMMON","1","Elekk Plushie"
"RARE","1","Corefire Imp"
"RARE","25","Fragment of Suffering"
"RARE","25","Baby Stonehide"
"RARE","25","Albatross Hatchling"
"RARE","25","Son of Sethe"
"RARE","1","Dreadmaw"
"RARE","1","Blightbreath"
"RARE","1","Creeping Tentacle"
"RARE","13","Soulbroken Whelpling"
"RARE","1","Blood Boil"
"RARE","1","Nerubian Swarmer"
"RARE","10","Ironbound Proto-Whelp"
"RARE","1","Snaplasher"
"RARE","10","G0-R41-0N Ultratonk"
"RARE","1","Winter Rageling"
"RARE","10","Runeforged Servitor"
"RARE","25","Feathers"
"RARE","21","Taptaf"
"RARE","25","Fluxfire Feline"
"POOR","1","Fluxfire Feline"
"COMMON","1","Fluxfire Feline"
"RARE","25","Twilight Whelpling"
"UNCOMMON","23","Returned Hatchling"
"RARE","25","Spectral Raven"
"RARE","23","Returned Hatchling"
"RARE","25","Boghopper"
"RARE","23","Young Sand Sifter"
"RARE","25","Elusive Skimmer"
"RARE","20","Infinite Whelpling"
"RARE","11","Nether Faerie Dragon"
"RARE","10","Lil' Ragnaros"
"RARE","25","Specimen 97"
"RARE","25","Malfunctioning Microbot"
"UNCOMMON","1","Prismatic Softshell"
"RARE","25","Direbeak Hatchling"
"RARE","10","Sharptalon Hatchling"
"COMMON","23","Malfunctioning Microbot"
"RARE","10","Lost Robogrip"
"UNCOMMON","23","Malfunctioning Microbot"
"RARE","1","Stormborne Whelpling"
"RARE","25","Enchanted Broom"
"RARE","25","Sewer-Pipe Jelly"
"RARE","25","Direhorn Runt"
"RARE","25","Littlehoof"
"RARE","10","Venus"
"RARE","25","Thunderscale Whelpling"
"RARE","23","Sandclaw Pincher"
"RARE","1","Corgnelius"
"RARE","16","Comet"
"RARE","21","Microbot XD"
"RARE","25","Microbot 8D"
"RARE","25","Ghostshell Crab"
"RARE","25","Leafy Flutterwing"
"COMMON","23","Leafy Flutterwing"
"RARE","1","Ashmaw Cub"
"RARE","10","Zandalari Toenibbler"
"RARE","1","Redridge Tarantula"
"UNCOMMON","1","Poda"
"RARE","1","Bloodstone Tunneler"
"RARE","10","Giggling Flame"
"RARE","1","Sandshell Chitterer"
"UNCOMMON","1","Toxic Wasteling"
"RARE","1","Untethered Wyrmling"
"RARE","1","Abyssius"
"RARE","1","Cobalt Raven"
"RARE","1","Crimson Bat Pup"
"RARE","1","Docile Skyfin"
"RARE","1","Bonebiter"
"RARE","10","Lil' Bad Wolf"
"RARE","10","Coldlight Surfrunner"
"RARE","1","Felbat Pup"
"RARE","1","Leviathan Hatchling"
"RARE","1","Sparkleshell Sandcrawler"
"RARE","1","Sunscale Hatchling"
"RARE","25","Sunsoaked Flitter"
"UNCOMMON","21","Icespine Hatchling"
"RARE","1","Netherspawn, Spawn of Netherspawn"
"RARE","1","Risen Saber Kitten"
"RARE","1","Fetid Waveling"
"RARE","1","Snort"
"RARE","1","Muskflank Calfling"
"RARE","1","Cinderweb Recluse"
"RARE","1","Corrupted Blood"
"RARE","10","Void-Scarred Beetle"
"RARE","1","Drafty"
"RARE","1","Lovebird Hatchling"
"RARE","10","Infernal Pyreclaw"
"RARE","1","Faceless Mindlasher"
"UNCOMMON","1","OOX-35/MG"
"RARE","1","Snapper"
"RARE","1","Enchanted Tiki Mask"
"RARE","1","False Knucklebump"
"UNCOMMON","1","Glittering Diamondshell"
"RARE","1","Mischievous Zephyr"
"RARE","1","Kunchong Hatchling"
"RARE","1","Lost Robogrip"
"RARE","1","Sanctum Cub"
"RARE","1","Mustyfur Snooter"
"RARE","11","Mechanical Axebeak"
"RARE","1","Mechanical Scorpid"
"RARE","23","Golden Chirper"
"COMMON","23","Golden Eaglet"
"UNCOMMON","1","Stonegrinder"
"RARE","1","Laughing Stonekin"
"RARE","1","Nightwreathed Watcher"
"RARE","1","Firesting Buzzer"
"RARE","10","Muar"
"RARE","1","Fetid Waveling"
"RARE","1","Benax"
"RARE","1","Ghastly Kid"
"RARE","1","Sprite Darter Hatchling"
"RARE","1","Small Frog"
"RARE","7","Roach"
"RARE","25","Rotten Little Helper"
"RARE","5","Small Frog"
"RARE","20","Cockroach"
"RARE","21","Cockroach"
"RARE","23","Brown Marmot"
"RARE","22","Twilight Wasp"
"RARE","23","Twilight Wasp"
"RARE","21","Fire-Proof Roach"
"RARE","21","Twilight Wasp"
"RARE","22","Rat"
"RARE","22","Rat"
"RARE","22","Icespine Hatchling"
"RARE","25","Rotten Little Helper"
"RARE","21","Rat"
"RARE","21","Icespine Hatchling"
"RARE","23","Frostfur Rat"
"RARE","21","Frostfur Rat"
"RARE","23","Bucktooth Flapper"
"RARE","23","Mountain Skunk"
"RARE","1","Ravenous Prideling"
"RARE","1","Amberglow Stinger"
"RARE","1","Living Amber"
"RARE","1","Baoh-Xi"
"RARE","1","Wayward Spirit"
"RARE","1","Spawn of Garalon"
"RARE","2","Kor'thik Swarmling"
"RARE","1","Azure Windseeker"
"RARE","1","Stoneclaw"
"RARE","1","Spirit of the Spring"
"RARE","15","Happiness"
"RARE","23","Highlands Turkey"
"RARE","1","Bleakwater Jelly"
"UNCOMMON","1","Guild Herald"
"UNCOMMON","1","Guild Page"
"RARE","23","Giant Woodworm"
"RARE","23","Parasitic Boarfly"
"COMMON","6","Little Black Ram"
"UNCOMMON","21","Twilight Spider"
"RARE","1","Void-Scarred Pup"
"RARE","1","Wretched Servant"
"RARE","1","Anomalus"
"RARE","1","Void-Scarred Cat"
"RARE","25","Terrible Turnip"
"RARE","25","Baa'l"
"UNCOMMON","1","Chi-Ji Kite"
"RARE","7","Terky"
"RARE","4","Wicker Pup"
"UNCOMMON","3","Winterspring Cub"
"UNCOMMON","1","Sapphire Cub"
"RARE","1","Winterspring Cub"
"RARE","13","Stripe-Tailed Scorpid"
"COMMON","14","Sand Kitten"
"RARE","6","Cinder Kitten"
"RARE","2","Cat"
"RARE","1","Brightpaw"
"POOR","17","Anodized Robo Cub"
"UNCOMMON","1","Winterspring Cub"
"RARE","1","Chrominius"
"RARE","25","Pandaren Water Spirit"
"RARE","1","Zandalari Kneebiter"
"RARE","25","Sunreaver Micro-Sentry"
"RARE","25","Bonkers"
"RARE","1","Dandelion Frolicker"
"RARE","14","Xu-Fu, Cub of Xuen"
